,url,title,comment
0,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,"Lectron CCS to Tesla Adapter : https://ev-lectron.com/raH9Da
Dual-Level Tesla Charger: https://ev-lectron.com/yzpgo9

(Amazon) CCS to Tesla Adapter: https://amzn.to/3l0UbpA"
1,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,"I was a landlord for 20 years and this sounds exactly like my experience.  If dealing with difficult renters and abusive situations doesn't really bother you too much, you can make money doing this over time.  For most folks, however, you just get tired of engaging with messed up people who have the ability to damage and destroy anything that gets within a sniff of their ecosphere.  And that's with 90% of my tenants being good to deal with.  It was that lousy 10% that made me get out.  Been six years since I sold that last property and so glad to be away from all that."
2,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,"Really interesting video, great to see more details on how something like Turo works for the longer term. As a consumer, I rented from Turo once (to test drive a MY before I got mine) and it was a great experience. The host was SUPER nice and even contacted Turo on my behalf when I screwed up and returned the car ""late"" (It was back in the driveway an hour early, but I didn't know how to use the app, so I didn't push the right buttons to check it back in until a few hours later). But from a hosting perspective I've always said ""never"". Seems like too ripe for abuse or something to go wrong and that seems to be the case for you. Just like AirBNB. While I know I'm not going to abuse someones car or home... unfortunately way too many people in this world have the mentality of ""It's not mine so who cares!"" rather than being raised right with the mentality of ""It's not mine, so I should treat it "
3,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,This sounds like a nightmare of a business. Kudos to you for doing it for that long of a time despite all the issues.
4,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,"I only got through 6 trips on my 2019 model 3 on Turo before I pulled it. The hassle of dealing with irresponsible drivers and battling with TURO to get compensated for guest extra charges was making me feel the projected value was not worth the time. Mostly, came down to last guest that smoked in the car and left their smoke smelling jacket in the car for me to bring home. Since it is my secondary vehicle and I'm allergic to cigarette smoke, I could not have that happen again. It took months to get rid of the smell."
5,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,"Tried to rent cars thru Turo a couple of times, and its clear you were one of the better people renting your car out.  When the listing is passive aggressive to begin with, its just easier to deal with one of the car rental companies.  Like AirBnB, I think its an idea that doesn't work with most people who don't bother to put in the effort you did."
6,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,"This is exactly how i feel about being a host for airbnb and uber, both of which I've done.   Trusting with people with your own belongings is an exercise in frustration.   They're almost always selfish and the pay simply has never been worth it for me."
7,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,Great video and you gave it a reasonable time as a trial.  Appreciate you sharing your experiences.  Enjoy the channel Ryan!
8,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,You actually rented it out 100 times? I’m done after two
9,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,"I own a Model 3, so I decided to rent one through Turo for the first time around Christmas - a slight splurge over a regular rental. I curbed one wheel, and the owner insisted on replacing the whole wheel, costing me about $720, rather than the $125 fix. Initial claim was for $2200, because she thought she might have to claim loss of income from not being able to rent it, plus a rental car for that time, as if a scrape on the side of one wheel somehow made the car inoperable. Ridiculous. Had other issues with the owner - she was late for pickup and lied that she was stuck in traffic. Her sentry cam showed that she left her house 20 minutes after she wrote she was stuck in traffic. And she delivered it with a 44% charge. While I was waiting for the wheel to be sorted out, the time to leave a review expired, so now it seems, I have no recourse for the insane charge, late pick up, and low state of charge at delivery. Though if someone has advice, I'd love to hear it."
10,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,I had a nightmare experience with my very first rental. The renter drove all the way to the border of Mexico before I contacted him and stopped him from going to Mexico with my truck. He was mad that I had ruined his plans even though he had originally told me he was going to Vegas. Total bs. So my first Turo rental was my last one. I’ve been a guest many times and it has been great each time.
11,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,"Great video! We’ve rented a 3 and Y through Hertz and it’s hard to beat. The cost was exceptional, all things considered. Hard to rent on Turo when a 3 is dirt cheap and pick up/return is at the airport."
12,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,"""I just don't want to"" is an underrated statement."
13,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,"Thanks, I am surprised you lasted that long. People will treat them like rentals and trash them, and hope you do not spot the damage when they return them, but on the plus side it helped with your channel and you got a few videos out of it."
14,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,Wow thanks Ryan for elaborating the nooks and crannies of how joining Turo requires an patience and backbone with guests taking your teslas. I hope you and your family get an awesome tesla soon when you sell plaid and 3. We all learn from you a lot so God bless you and keen observations going forward.
15,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,Hey Ryan. You are way more patient than I am!! I would’ve been out after the red Y issues! Thanks for sharing. My Y is staying in my garage for my wife and my use only! 
16,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,"Another great and detailed video, Ryan!  Thank you for confirming our decision not to dance the Turo is the right one!  I have to wonder how your red Y is doing with the new owner today!"
17,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,"1)  Your honesty combined with excellent video creation skills make your channel truly EXCELLENT.  
.
2)  It seems to be the case that once again a few bad apples spoiled things for everyone.  One could argue that, on a macro scale, that is how we wound up with climate change, the national debt, and the war in Ukraine."
18,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,"As a customer I love Turo for trying out potential car purchases. We rented in the past few years Tesla 3, S, Nissan Leaf and Chevy Bolt all for 3 days each. We ended up buying a Nissan Leaf SV plus as our town car, and a Subaru Outback as our road car."
19,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,Even tho the business didn’t work out as expected you were able to bond with your old man while making some money  the best thing we got is our folks
20,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,"Nice review.  Many, if not most, of the Euro disadvantages will apply to using robotaxi option on one's personal car. I remain unconvinced FSD-robotaxis will be anything other than a replacement for regular taxis/Ubers/etc. Niche market."
21,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,Great video. Yeah I simply couldn't handle the stress of dealing with bad renters.
22,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,I rented a model Y from hertz and the amount of road rash that was on the right rear tire was insane.  That has to be an endless hassle for anyone renting those cars.
23,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,"I have 7 teslas on turo rn and it really is a full time job. I enjoy talking to people though and love tesla so it’s just a fun thing I do. I make money elsewhere passively so this keeps me busy. I’m sorry to see others having a bad experience as I always do my best to go above and beyond. I have over 300 trips and have a 5 star review. My end goal is either robo taxi or just sell them all off and buy another house. Spring and summer travel should be fun and might even add the ultra red plaid S to complete my collection as I have the 3,X,Y."
24,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,I have thought about it since my area doesn’t have many Teslas. But I know myself I would be constantly watching the app to see what they were doing. I am too picky about my cars plus so many bad drivers out there. Thanks for sharing your story.
25,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,Thanks for the honest review. Renting out your cars sounded way too stressful for the rewards 
26,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,Thank you for your review. I was considering renting my 2023 model y on days I won't use it but it seems like a hassle dealing with people and the limited time required to have the vehicle rental ready; especially if you want to make money
27,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,Great video on good & bad renting on turo.  When you list your cars a link would be nice.
28,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,I literally set my turo up yesterday to rent my Tesla. Now i know better 
29,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,"I love my cars too much to rent it, and dont have time for this kind of business. Glad there are more reasons then I even anticipated to avoid it. Sorry you had to go thru all of this"
30,https://www.youtube.com/watch?v=p5pI8UZZfes,My Tesla Turo Review After 100 Users | I'm Out and Here's Why - YouTube,And this is why I couldn't rent my car out once fsd is available. I'll use it for long trips where I can relax. Thanks for the honest review.
